subject,group,condition,apparatus,solve,sum_part_act
VP23,36mo_replication,arbitrary,apart,0,NA
VP23,36mo_replication,arbitrary,boxing,0,NA
VP24,36mo_replication,arbitrary,apart,1,NA
VP24,36mo_replication,arbitrary,boxing,0,NA
VP25,36mo_replication,arbitrary,apart,0,NA
VP25,36mo_replication,arbitrary,boxing,0,NA
VP28,36mo_replication,arbitrary,apart,0,NA
VP28,36mo_replication,arbitrary,boxing,0,NA
VP40,36mo_replication,arbitrary,apart,1,NA
VP40,36mo_replication,arbitrary,boxing,0,NA
VP43,36mo_replication,iconic,boxing,1,NA
VP43,36mo_replication,iconic,apart,1,NA
VP45,36mo_replication,iconic,boxing,0,NA
VP45,36mo_replication,iconic,apart,0,NA
VP46,36mo_replication,iconic,boxing,1,NA
VP46,36mo_replication,iconic,apart,1,NA
VP47,36mo_replication,iconic,boxing,1,NA
VP47,36mo_replication,iconic,apart,1,NA
VP48,36mo_replication,iconic,boxing,1,NA
VP48,36mo_replication,iconic,apart,1,NA
VP49,36mo_replication,iconic,boxing,1,NA
VP49,36mo_replication,iconic,apart,1,NA
VP50,36mo_replication,iconic,boxing,0,NA
VP50,36mo_replication,iconic,apart,0,NA
VP51,36mo_replication,iconic,boxing,1,NA
VP51,36mo_replication,iconic,apart,1,NA
VP52,36mo_replication,iconic,boxing,1,NA
VP52,36mo_replication,iconic,apart,1,NA
VP53,36mo_replication,iconic,boxing,1,NA
VP53,36mo_replication,iconic,apart,1,NA
VP54,36mo_replication,iconic,boxing,0,NA
VP54,36mo_replication,iconic,apart,1,NA
VP55,36mo_replication,iconic,boxing,0,NA
VP55,36mo_replication,iconic,apart,1,NA
VP56,36mo_replication,iconic,boxing,0,NA
VP56,36mo_replication,iconic,apart,1,NA
VP29,36mo_replication,arbitrary,boxing,0,NA
VP29,36mo_replication,arbitrary,apart,0,NA
VP30,36mo_replication,arbitrary,boxing,1,NA
VP30,36mo_replication,arbitrary,apart,0,NA
VP31,36mo_replication,arbitrary,boxing,0,NA
VP31,36mo_replication,arbitrary,apart,1,NA
VP32,36mo_replication,arbitrary,boxing,0,NA
VP32,36mo_replication,arbitrary,apart,0,NA
VP33,36mo_replication,arbitrary,boxing,0,NA
VP33,36mo_replication,arbitrary,apart,1,NA
VP34,36mo_replication,arbitrary,boxing,0,NA
VP34,36mo_replication,arbitrary,apart,1,NA
VP35,36mo_replication,arbitrary,boxing,0,NA
VP35,36mo_replication,arbitrary,apart,0,NA
VP36,36mo_replication,arbitrary,boxing,0,NA
VP36,36mo_replication,arbitrary,apart,1,NA
VP38,36mo_replication,arbitrary,boxing,0,NA
VP38,36mo_replication,arbitrary,apart,1,NA
VP39,36mo_replication,arbitrary,boxing,0,NA
VP41,36mo_replication,arbitrary,boxing,0,NA
VP41,36mo_replication,arbitrary,apart,0,NA
VP42,36mo_replication,arbitrary,boxing,0,NA
VP42,36mo_replication,arbitrary,apart,1,NA
VP44,36mo_replication,arbitrary,boxing,0,NA
VP44,36mo_replication,arbitrary,apart,0,NA
